model_name,model_name_raw,assay_id,UniProt_id,fold_variable_name,loss_fitness,Spearman_fitness
Kermut,kermut,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,fold_random_5,0.7767479692282019,0.5854827601303446
Kermut,kermut,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,fold_modulo_5,0.9170210126688583,0.41803308873029976
Kermut,kermut,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,fold_contiguous_5,1.0992955843223502,0.3836707994889049
Kermut,kermut,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,fold_random_5,0.30004794908225874,0.835132255922625
Kermut,kermut,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,fold_modulo_5,0.6266598413603707,0.6215117455755577
Kermut,kermut,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,fold_contiguous_5,0.7542260664158794,0.545225242578031
Kermut,kermut,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,1.007381818556183,0.08893423004819545
Kermut,kermut,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0214656986766066,0.05054861591756768
Kermut,kermut,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0254475769066513,0.06814539644521575
Kermut,kermut,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,fold_random_5,0.48338044275600495,0.6766012058176222
Kermut,kermut,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,fold_modulo_5,0.6774191819311292,0.5357649583678162
Kermut,kermut,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,fold_contiguous_5,0.8041516209613797,0.5455427041159819
Kermut,kermut,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,fold_random_5,0.29809626474188955,0.8357458155739088
Kermut,kermut,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,fold_modulo_5,0.5062619207226068,0.7079179701030551
Kermut,kermut,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,fold_contiguous_5,0.6310353435511872,0.6341119351315343
Kermut,kermut,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,fold_random_5,0.9620880594543855,0.553896543625567
Kermut,kermut,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,fold_modulo_5,0.9713263138166714,0.4942225812598855
Kermut,kermut,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,fold_contiguous_5,1.026108112132743,0.45098431879647094
Kermut,kermut,A4_HUMAN_Seuma_2022,A4_HUMAN,fold_random_5,0.40553009361408004,0.7489807171317394
Kermut,kermut,A4_HUMAN_Seuma_2022,A4_HUMAN,fold_modulo_5,0.576687679164622,0.6560830477521957
Kermut,kermut,A4_HUMAN_Seuma_2022,A4_HUMAN,fold_contiguous_5,0.5780272145705037,0.6586460628703994
Kermut,kermut,A4D664_9INFA_Soh_2019,A4D664_9INFA,fold_random_5,0.48492628447063957,0.7600978787667957
Kermut,kermut,A4D664_9INFA_Soh_2019,A4D664_9INFA,fold_modulo_5,0.8241280358012242,0.5378849194022743
Kermut,kermut,A4D664_9INFA_Soh_2019,A4D664_9INFA,fold_contiguous_5,0.9948180927177759,0.38190084694172993
Kermut,kermut,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,fold_random_5,0.15191015984232442,0.9053740605545846
Kermut,kermut,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,fold_modulo_5,0.2771202671113032,0.8311070939021531
Kermut,kermut,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,fold_contiguous_5,0.31579945009329774,0.8248503413697356
Kermut,kermut,AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,fold_random_5,0.6107622415410021,0.6596532468602244
Kermut,kermut,AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,fold_modulo_5,0.7131788904580397,0.5682679067021936
Kermut,kermut,AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,fold_contiguous_5,0.7832127876286078,0.5375050962035441
Kermut,kermut,ACE2_HUMAN_Chan_2020,ACE2_HUMAN,fold_random_5,0.43841271587502534,0.7227777346225579
Kermut,kermut,ACE2_HUMAN_Chan_2020,ACE2_HUMAN,fold_modulo_5,0.7732091788520642,0.4624645124052789
Kermut,kermut,ACE2_HUMAN_Chan_2020,ACE2_HUMAN,fold_contiguous_5,0.8106671747888139,0.43514469445663
Kermut,kermut,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,fold_random_5,0.6668498532695504,0.614999491689796
Kermut,kermut,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,fold_modulo_5,0.6987594140393587,0.5867827757889266
Kermut,kermut,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,fold_contiguous_5,0.7520302898294811,0.5738735816521982
Kermut,kermut,AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,fold_random_5,1.7820195936947965,0.3346262867234093
Kermut,kermut,AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,fold_modulo_5,2.623113280257858,0.23264725632318328
Kermut,kermut,AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,fold_contiguous_5,2.599407796466799,0.26472931396588684
Kermut,kermut,AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,fold_random_5,0.1597903319756986,0.9319529145019091
Kermut,kermut,AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,fold_modulo_5,0.2792362705176347,0.8604229421984156
Kermut,kermut,AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,fold_contiguous_5,0.32609634722207814,0.8438061275131349
Kermut,kermut,AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,fold_random_5,0.37279744398168285,0.8335244366695231
Kermut,kermut,AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,fold_modulo_5,0.5338971315961525,0.7147665951902052
Kermut,kermut,AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,fold_contiguous_5,0.5943385596963672,0.6975717468045363
Kermut,kermut,ANCSZ_Hobbs_2022,ANCSZ,fold_random_5,0.27386927022930807,0.79125027432922
Kermut,kermut,ANCSZ_Hobbs_2022,ANCSZ,fold_modulo_5,0.4462364871937146,0.6650403564171052
Kermut,kermut,ANCSZ_Hobbs_2022,ANCSZ,fold_contiguous_5,0.4444721795273043,0.6662042885127242
Kermut,kermut,ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,fold_random_5,0.137265139021575,0.8859594887047725
Kermut,kermut,ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,fold_modulo_5,0.3060829248363216,0.7924706567696828
Kermut,kermut,ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,fold_contiguous_5,0.31088101221388276,0.7938852625274967
Kermut,kermut,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,fold_random_5,0.4075554560864167,0.824671319789205
Kermut,kermut,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,fold_modulo_5,1.7168101863855514,0.2859374332105935
Kermut,kermut,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,fold_contiguous_5,1.4665764331260709,0.1954592363261094
Kermut,kermut,BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,fold_random_5,0.14097793915079146,0.9320119904863626
Kermut,kermut,BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,fold_modulo_5,0.3489856218047115,0.8188293256677266
Kermut,kermut,BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,fold_contiguous_5,0.38532368029577685,0.8049620329921208
Kermut,kermut,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,fold_random_5,0.13732259401656116,0.9223813741021564
Kermut,kermut,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,fold_modulo_5,0.3898093268427204,0.7587368824385546
Kermut,kermut,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,fold_contiguous_5,0.5052077970374895,0.7101885927861333
Kermut,kermut,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,fold_random_5,0.28212660454493205,0.8465947643518082
Kermut,kermut,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,fold_modulo_5,0.6492939590039691,0.5928182032308429
Kermut,kermut,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,fold_contiguous_5,0.7779222343844714,0.49985092723377955
Kermut,kermut,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,fold_random_5,0.1891442163510582,0.9094291527334242
Kermut,kermut,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,fold_modulo_5,0.3346246578390431,0.8358519455250756
Kermut,kermut,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,fold_contiguous_5,0.3541999520464679,0.8211642431147228
Kermut,kermut,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,fold_random_5,0.3069023862548743,0.7762487817569137
Kermut,kermut,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,fold_modulo_5,0.36968033443700155,0.7447686324239722
Kermut,kermut,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,fold_contiguous_5,0.392777363696244,0.7404527985013035
Kermut,kermut,BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,fold_random_5,0.156676327391391,0.9089455087233028
Kermut,kermut,BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,fold_modulo_5,0.3286657030073815,0.8264189607102417
Kermut,kermut,BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,fold_contiguous_5,0.3674909072340122,0.803821337583211
Kermut,kermut,BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,fold_random_5,0.3943154570914318,0.6834461939901065
Kermut,kermut,BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,fold_modulo_5,0.5427270762865728,0.6184512069973434
Kermut,kermut,BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,fold_contiguous_5,0.6071170306850352,0.5830631936323645
Kermut,kermut,BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,fold_random_5,0.49795318373039354,0.5416261494215815
Kermut,kermut,BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,fold_modulo_5,0.6903806617309528,0.48992249061762466
Kermut,kermut,BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,fold_contiguous_5,0.8791051255078147,0.5028959620320098
Kermut,kermut,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,fold_random_5,0.30382435309159117,0.8273741057811522
Kermut,kermut,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,fold_modulo_5,0.510404651680992,0.7023206571420256
Kermut,kermut,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,fold_contiguous_5,0.6144876366839034,0.6403706060086856
Kermut,kermut,CALM1_HUMAN_Weile_2017,CALM1_HUMAN,fold_random_5,0.9287956236352637,0.2436711380887867
Kermut,kermut,CALM1_HUMAN_Weile_2017,CALM1_HUMAN,fold_modulo_5,0.9712108148936681,0.1934357502459242
Kermut,kermut,CALM1_HUMAN_Weile_2017,CALM1_HUMAN,fold_contiguous_5,0.9725997022987932,0.1904415324612603
Kermut,kermut,CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,fold_random_5,0.3186890436470695,0.8177848347775025
Kermut,kermut,CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,fold_modulo_5,0.5970769449413041,0.6183673161980858
Kermut,kermut,CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,fold_contiguous_5,0.5791585243700562,0.6645225490986029
Kermut,kermut,CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,fold_random_5,0.5965968981666039,0.6366014716955813
Kermut,kermut,CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,fold_modulo_5,0.7699519397508936,0.5657048961729312
Kermut,kermut,CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,fold_contiguous_5,0.8405453982862187,0.5470420297786538
Kermut,kermut,CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,fold_random_5,0.3690111931119583,0.7938993572925452
Kermut,kermut,CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,fold_modulo_5,0.489977024820611,0.722635575838429
Kermut,kermut,CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,fold_contiguous_5,0.5222862530662442,0.7064423879429441
Kermut,kermut,CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,fold_random_5,0.9532925417494112,0.2519115682561342
Kermut,kermut,CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,fold_modulo_5,0.9592361368742837,0.23628114267986258
Kermut,kermut,CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,fold_contiguous_5,0.9656396210245347,0.23487725031952852
Kermut,kermut,CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,fold_random_5,0.46277980698369553,0.7413828157703531
Kermut,kermut,CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,fold_modulo_5,0.5095359751384817,0.7106133943282366
Kermut,kermut,CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,fold_contiguous_5,0.5393657322008737,0.6903734727759173
Kermut,kermut,CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,fold_random_5,0.5488783472248657,0.7068141221097979
Kermut,kermut,CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,fold_modulo_5,0.5849885069161644,0.6765601861597679
Kermut,kermut,CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,fold_contiguous_5,0.6119133648956376,0.6582111732405153
Kermut,kermut,CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,fold_random_5,0.16262093356192892,0.9027330898149841
Kermut,kermut,CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,fold_modulo_5,0.30858732979478226,0.803558479930052
Kermut,kermut,CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,fold_contiguous_5,0.35766995574615057,0.7867934250604298
Kermut,kermut,CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,fold_random_5,0.09190534674142303,0.905809142400252
Kermut,kermut,CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,fold_modulo_5,0.23976962987651596,0.7758552309830361
Kermut,kermut,CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,fold_contiguous_5,0.2568439434132453,0.8048321841889615
Kermut,kermut,CBS_HUMAN_Sun_2020,CBS_HUMAN,fold_random_5,0.7737552552741243,0.47020935979340384
Kermut,kermut,CBS_HUMAN_Sun_2020,CBS_HUMAN,fold_modulo_5,0.7944103493494565,0.45029422375945005
Kermut,kermut,CBS_HUMAN_Sun_2020,CBS_HUMAN,fold_contiguous_5,0.8053332403023069,0.44199220724638116
Kermut,kermut,CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,fold_random_5,0.16298197328012154,0.9154535527480119
Kermut,kermut,CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,fold_modulo_5,0.3303380700310657,0.8091277450396963
Kermut,kermut,CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,fold_contiguous_5,0.3542181875777536,0.8019150250327663
Kermut,kermut,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,fold_random_5,0.000178060074728449,0.9977741477638764
Kermut,kermut,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,fold_modulo_5,0.5853265165802082,0.6392740611645337
Kermut,kermut,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,fold_contiguous_5,0.9388374796231775,0.45731541842284756
Kermut,kermut,CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,fold_random_5,0.357331111963627,0.47689794648548745
Kermut,kermut,CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,fold_modulo_5,0.6171635301272145,0.442032030507873
Kermut,kermut,CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,fold_contiguous_5,0.7328442981469642,0.4791929532201786
Kermut,kermut,CCR5_HUMAN_Gill_2023,CCR5_HUMAN,fold_random_5,0.6973381880698107,0.531539400787895
Kermut,kermut,CCR5_HUMAN_Gill_2023,CCR5_HUMAN,fold_modulo_5,0.7760265039947468,0.46709601501482656
Kermut,kermut,CCR5_HUMAN_Gill_2023,CCR5_HUMAN,fold_contiguous_5,0.7842855611913415,0.4615620423851968
Kermut,kermut,CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,fold_random_5,0.4822194548559214,0.6338473404839201
Kermut,kermut,CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,fold_modulo_5,0.7170572145703348,0.4952711267196881
Kermut,kermut,CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,fold_contiguous_5,0.7624761745278379,0.4685367097799175
Kermut,kermut,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,fold_random_5,0.250399221526113,0.8288937478030015
Kermut,kermut,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,fold_modulo_5,0.35970442053360924,0.763084491096889
Kermut,kermut,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,fold_contiguous_5,0.45725512047685163,0.7198277635372977
Kermut,kermut,CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,fold_random_5,0.20621889057560375,0.8936773680328332
Kermut,kermut,CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,fold_modulo_5,0.3541645636268885,0.8158913982737437
Kermut,kermut,CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,fold_contiguous_5,0.4605227159596852,0.7543467143782832
Kermut,kermut,CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,fold_random_5,0.10795346095968561,0.9248023067246768
Kermut,kermut,CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,fold_modulo_5,0.2759943544636247,0.8316596273937595
Kermut,kermut,CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,fold_contiguous_5,0.2882610014761466,0.8256604234749734
